hockeyRef,team,pos,stats/gp,stats/goals,stats/assists,stats/pim,stats/plusMinus,stats/ppg,stats/shg,stats/gwg,stats/how,stats/fol,stats/shots,stats/blocks,stats/hits,stats/toi,stats/take,stats/give,stats/wins,stats/losses,stats/ties,stats/ga,stats/sa,stats/so
eicheja01,VEG,C,7,6,10,0,7,0,0,1,65,61,34,4,4,145,6,16,,,,,,
stonema01,VEG,RW,6,2,11,0,2,1,0,0,0,1,19,5,3,110,1,6,,,,,,
larkidy01,DET,C,6,5,6,6,9,2,0,2,62,42,20,1,4,121,0,7,,,,,,
nylanwi01,TOR,C,6,2,9,2,2,0,0,0,8,6,11,3,0,119,4,8,,,,,,
boldyma01,MIN,LW,7,4,6,4,-1,3,0,0,6,6,27,2,5,155,0,11,,,,,,
kapriki01,MIN,LW,7,5,5,0,-4,4,0,0,0,0,28,3,2,153,0,9,,,,,,
mackina01,COL,C,6,6,4,4,10,2,0,1,71,49,25,5,5,130,1,10,,,,,,
marnemi01,VEG,RW,7,2,8,2,9,1,0,0,4,1,14,4,6,149,2,7,,,,,,
necasma01,COL,C,6,4,6,2,10,1,0,0,3,1,14,2,4,125,0,15,,,,,,
scheima01,WPG,C,6,7,3,4,5,2,0,2,54,50,19,1,3,117,1,7,,,,,,
suzukni01,MTL,C,7,1,9,2,6,1,0,0,65,60,13,4,3,142,1,4,,,,,,
connoky01,WPG,LW,6,3,6,2,6,0,1,0,0,0,18,1,1,118,2,6,,,,,,
jarvise01,CAR,C,6,6,3,0,3,1,0,4,5,7,24,3,2,118,3,3,,,,,,
malkiev01,PIT,C,6,2,7,0,1,1,0,0,16,27,12,1,3,101,1,4,,,,,,
schmani01,UTA,C,6,3,6,2,3,1,0,1,11,19,23,2,1,118,2,9,,,,,,
wilsoto01,WSH,RW,6,3,6,2,1,2,0,0,0,3,12,2,21,119,1,7,,,,,,
ahose01,CAR,F,6,2,6,2,1,0,0,0,53,51,15,3,10,119,2,13,,,,,,
barbaiv01,VEG,C,7,3,5,0,5,0,0,0,0,1,8,0,14,106,2,9,,,,,,
caufico01,MTL,RW,7,5,3,2,4,1,0,2,0,1,18,2,11,130,3,6,,,,,,
dorofpa01,VEG,LW,7,7,1,2,1,4,0,1,0,0,21,5,3,125,0,5,,,,,,
kniesma01,TOR,LW,6,2,6,6,4,1,0,0,0,0,15,5,19,124,3,9,,,,,,
pastrda01,BOS,RW,7,4,4,8,-3,2,0,0,0,0,27,2,17,140,4,15,,,,,,
pintosh01,OTT,C,6,7,1,6,1,0,0,0,45,26,21,4,4,111,4,2,,,,,,
stromdy01,WSH,C,6,2,6,2,4,0,0,0,71,51,14,4,3,110,1,6,,,,,,
bedarco01,CHI,C,7,2,5,10,3,1,0,0,19,33,19,2,4,151,3,10,,,,,,
brattje01,NJD,W,5,3,4,6,0,1,1,1,0,0,9,1,8,85,5,4,,,,,,
coutuse01,PHI,C,6,2,5,4,3,0,0,1,62,55,10,5,6,116,3,7,,,,,,
crosbsi01,PIT,C,6,3,4,8,1,1,0,1,55,54,9,3,5,109,1,8,,,,,,
gostish01,CAR,D,5,1,6,2,9,0,0,0,0,0,6,8,2,80,2,3,,,,,,
hertlto01,VEG,C,7,3,4,8,3,2,0,1,79,53,17,2,9,124,1,7,,,,,,
kellecl01,UTA,C,6,2,5,2,2,0,0,0,1,0,13,2,1,121,0,10,,,,,,
kempead01,LAK,LW,6,2,5,8,2,0,0,0,1,6,22,5,18,116,4,7,,,,,,
lehkoar01,COL,LW,6,2,5,0,9,0,0,0,0,1,14,6,3,120,1,5,,,,,,
makarca01,COL,D,6,2,5,6,8,0,0,1,0,0,18,10,7,144,5,6,,,,,,
mcdavco01,EDM,C,6,0,7,2,-3,0,0,0,33,33,19,2,2,141,2,12,,,,,,
nazarfr01,CHI,C,7,3,4,6,4,0,0,1,49,55,11,7,6,132,6,11,,,,,,
panarar01,NYR,LW,8,2,5,2,-1,0,0,1,0,0,19,1,2,168,3,11,,,,,,
rantami01,DAL,RW,5,3,4,8,2,1,0,0,2,3,16,2,5,107,1,3,,,,,,
tavarjo01,TOR,C,6,3,4,0,1,1,0,0,57,40,9,0,6,104,1,3,,,,,,
bensoza01,BUF,LW,3,0,6,4,0,0,0,0,0,1,11,1,3,55,3,4,,,,,,
byfiequ01,LAK,C,6,2,4,8,-3,1,0,0,37,60,16,4,9,114,4,3,,,,,,
carlsle01,ANA,C,5,2,4,0,-2,0,0,1,28,33,14,4,0,94,0,3,,,,,,
debrial01,DET,RW,6,0,6,0,0,0,0,0,0,2,20,4,0,106,1,4,,,,,,
foxad01,NYR,D,8,3,3,2,0,1,0,1,0,0,19,14,5,193,7,7,,,,,,
garlaco01,VAN,RW,6,1,5,2,2,0,0,1,1,4,19,3,5,121,1,6,,,,,,
guentja01,TBL,C,6,1,5,2,-3,0,0,0,7,10,21,4,1,131,3,10,,,,,,
harleth01,DAL,D,5,1,5,6,0,0,0,0,0,0,4,16,2,115,2,3,,,,,,
hintzro01,DAL,LW,5,1,5,2,2,0,0,0,54,45,17,4,3,99,0,3,,,,,,
hischni01,NJD,C,5,2,4,0,2,0,0,0,51,53,10,12,1,100,0,4,,,,,,
horvabo01,NYI,C,5,4,2,2,5,1,1,1,56,42,25,2,4,104,0,4,,,,,,
hugheja03,NJD,C,5,3,3,0,-2,1,0,1,15,30,20,2,1,101,6,15,,,,,,
johnswy01,DAL,C,5,4,2,0,2,2,0,1,25,18,14,6,2,104,1,7,,,,,,
marchbr03,FLA,LW,7,3,3,8,-6,0,0,1,0,1,24,0,4,123,0,4,,,,,,
marchki01,CBJ,RW,5,5,1,2,4,1,0,2,0,0,22,5,4,95,1,7,,,,,,
matthau01,TOR,C,6,4,2,2,5,0,0,2,62,43,26,16,4,131,1,11,,,,,,
niedeni01,WPG,RW,6,2,4,2,1,1,0,1,1,0,12,2,13,86,1,2,,,,,,
nugenry01,EDM,C,6,4,2,4,-2,1,0,0,17,25,14,1,2,111,1,3,,,,,,
protaal01,WSH,C,6,4,2,0,3,0,0,1,0,4,16,2,2,113,1,8,,,,,,
riellmo01,TOR,D,6,2,4,2,-4,0,0,1,0,0,19,5,5,130,1,15,,,,,,
roberja01,DAL,LW,5,2,4,0,4,1,0,0,0,0,23,1,4,96,3,7,,,,,,
teravte01,CHI,F,7,1,5,0,5,0,0,0,1,2,5,4,3,125,3,13,,,,,,
zachapa01,BOS,C,7,1,5,4,1,0,0,0,19,16,5,4,10,129,2,9,,,,,,
barromo01,WPG,C,6,3,2,2,2,0,1,1,27,33,5,4,11,72,2,3,,,,,,
bertuty01,CHI,LW,7,2,3,2,1,1,0,0,14,8,16,0,10,119,2,7,,,,,,
brazeju01,PIT,F,6,4,1,0,2,0,0,2,0,0,12,7,10,79,0,5,,,,,,
buiumze01,MIN,D,7,1,4,2,-8,1,0,0,0,0,12,4,2,143,1,11,,,,,,
catesno01,PHI,LW,6,3,2,2,2,1,0,1,49,47,14,5,4,101,2,6,,,,,,
celebma01,SJS,F,5,1,4,2,-2,1,0,0,40,44,6,0,3,98,2,8,,,,,,
chychja01,WSH,D,6,2,3,4,6,0,0,1,0,0,15,5,7,134,4,10,,,,,,
cozendy01,OTT,C,6,3,2,2,-7,1,0,0,40,26,17,2,26,102,0,4,,,,,,
dahlira01,BUF,D,6,0,5,4,-6,0,0,0,0,0,19,5,8,155,2,19,,,,,,
demidiv01,MTL,RW,7,1,4,6,2,0,0,0,0,0,6,2,1,100,3,11,,,,,,
